negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'O75351', 'O43865', 'Alpha6Beta4Integrin'})"
"frozenset({'P54646', 'Q7L3T8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2X7', 'Q16537', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14562', 'P61326', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4B6', 'Q9BV73', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z2W9', 'Alpha6Beta4Integrin', 'P49406'})"
"frozenset({'P62753', 'Q13620', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5VTE0', 'Alpha6Beta4Integrin', 'P29353'})"
"frozenset({'Q9BYV6', 'P45974', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z2K8', 'P12830', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H0N0', 'Q12905', 'Alpha6Beta4Integrin'})"
"frozenset({'O95477', 'P55055', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NC56', 'Q9UGM1', 'Alpha6Beta4Integrin'})"
"frozenset({'P52272', 'Alpha6Beta4Integrin', 'P62266'})"
"frozenset({'Q03393', 'O43865', 'Alpha6Beta4Integrin'})"
"frozenset({'O43542', 'Alpha6Beta4Integrin', 'O14730'})"
"frozenset({'O43251', 'Alpha6Beta4Integrin', 'Q16637'})"
"frozenset({'Q9C0J1', 'Q13620', 'Alpha6Beta4Integrin'})"
"frozenset({'P0DP24', 'Q13620', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01094', 'Alpha6Beta4Integrin', 'Q96GD4'})"
"frozenset({'P67775', 'Alpha6Beta4Integrin', 'P48643'})"
"frozenset({'O95870', 'Alpha6Beta4Integrin', 'Q8TDD5'})"
"frozenset({'Q9ULR0', 'Alpha6Beta4Integrin', 'O60508'})"
"frozenset({'Q8ND90', 'Alpha6Beta4Integrin', 'Q96GV9'})"
"frozenset({'Q9Y287', 'Q03167', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6IQ23', 'Q99439', 'Alpha6Beta4Integrin'})"
"frozenset({'P19784', 'Alpha6Beta4Integrin', 'Q15554'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P2N5', 'Q01995'})"
"frozenset({'O43491', 'Alpha6Beta4Integrin', 'Q13813'})"
"frozenset({'Q9NZB2', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'P21359', 'P30307', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O94906', 'Q92542'})"
"frozenset({'Q9Y4K3', 'Q92835', 'Alpha6Beta4Integrin'})"
"frozenset({'Q09472', 'P17612', 'Alpha6Beta4Integrin'})"
"frozenset({'P53007', 'Q96FW1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z7F0', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q9Y3E5', 'Alpha6Beta4Integrin', 'Q14164'})"
"frozenset({'O75170', 'Q9NR46', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96QV1', 'P10070', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P15927', 'Q06609'})"
"frozenset({'Alpha6Beta4Integrin', 'O15266', 'P35711'})"
"frozenset({'Q8NAM6', 'Alpha6Beta4Integrin', 'Q15797'})"
"frozenset({'Q96RL6', 'P29350', 'Alpha6Beta4Integrin'})"
"frozenset({'P35626', 'Q8NGD2', 'Alpha6Beta4Integrin'})"
"frozenset({'P10914', 'Alpha6Beta4Integrin', 'P62979'})"
"frozenset({'P15927', 'Alpha6Beta4Integrin', 'O94906'})"
"frozenset({'Q15645', 'O95630', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16851', 'Alpha6Beta4Integrin', 'Q9Y4E8'})"
"frozenset({'Q8NEA9', 'Alpha6Beta4Integrin', 'Q9UGI0'})"
"frozenset({'Q13155', 'P05412', 'Alpha6Beta4Integrin'})"
"frozenset({'P53618', 'P30443', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYV2', 'Alpha6Beta4Integrin', 'Q8IYX8'})"
"frozenset({'Q8NGV6', 'Alpha6Beta4Integrin', 'P25098'})"
"frozenset({'Q15311', 'Q13227', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBS8', 'P51965'})"
"frozenset({'Q9H116', 'P06748', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4K3', 'P42858', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UQ35', 'P39019'})"
"frozenset({'P13639', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'Q99551', 'Q14197', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14197', 'Q8IYB8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P00338', 'Q13501'})"
"frozenset({'P08700', 'Alpha6Beta4Integrin', 'P11274'})"
"frozenset({'Q15459', 'Alpha6Beta4Integrin', 'O75147'})"
"frozenset({'P15941', 'Alpha6Beta4Integrin', 'Q05655'})"
"frozenset({'O15105', 'Q9UN79', 'Alpha6Beta4Integrin'})"
"frozenset({'P31274', 'Alpha6Beta4Integrin', 'Q13287'})"
"frozenset({'O95983', 'Q9UKG1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2G4', 'Q96EY4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6NXG1', 'Q6ZRY4', 'Alpha6Beta4Integrin'})"
"frozenset({'P62879', 'Alpha6Beta4Integrin', 'O95622'})"
"frozenset({'Q13885', 'Alpha6Beta4Integrin', 'P15927'})"
"frozenset({'P20749', 'Q9UKL0', 'Alpha6Beta4Integrin'})"
"frozenset({'O60238', 'Alpha6Beta4Integrin', 'Q15848'})"
"frozenset({'Alpha6Beta4Integrin', 'P55157', 'Q96GP6'})"
"frozenset({'Q9HAU0', 'Alpha6Beta4Integrin', 'Q2KHM9'})"
"frozenset({'P31943', 'Alpha6Beta4Integrin', 'P48643'})"
"frozenset({'Q99757', 'A0PJX0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2H8', 'Alpha6Beta4Integrin', 'P46379'})"
"frozenset({'P03372', 'O75461', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92769', 'O96019', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5S007', 'P42025', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96S79', 'Alpha6Beta4Integrin', 'P22455'})"
"frozenset({'P05386', 'P62277', 'Alpha6Beta4Integrin'})"
"frozenset({'P27348', 'Alpha6Beta4Integrin', 'Q9Y6J0'})"
"frozenset({'Q01094', 'Q9UBU7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13075', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04917', 'P56524', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y657', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'P56537', 'Q9Y6K5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96AC1', 'Alpha6Beta4Integrin', 'P25098'})"
"frozenset({'Q15906', 'Alpha6Beta4Integrin', 'Q9Y230'})"
"frozenset({'P02545', 'Alpha6Beta4Integrin', 'O75147'})"
"frozenset({'Q9UBU9', 'Alpha6Beta4Integrin', 'Q9H6R4'})"
"frozenset({'Q8WYH8', 'P33993', 'Alpha6Beta4Integrin'})"
"frozenset({'P15407', 'P45983', 'Alpha6Beta4Integrin'})"
"frozenset({'P48736', 'Q9UDV7', 'Alpha6Beta4Integrin'})"
"frozenset({'P51956', 'Q9Y279', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C091', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Alpha6Beta4Integrin', 'P19438', 'P39656'})"
"frozenset({'Q8N8E3', 'Q93009', 'Alpha6Beta4Integrin'})"
"frozenset({'O43150', 'Alpha6Beta4Integrin', 'P62330'})"
"frozenset({'Q8WWY3', 'Q7L2J0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2C0', 'Q5T7W0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12906', 'Q99549', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86VP6', 'P38646', 'Alpha6Beta4Integrin'})"
"frozenset({'P82979', 'Alpha6Beta4Integrin', 'P61923'})"
"frozenset({'Q07890', 'Alpha6Beta4Integrin', 'P21802'})"
"frozenset({'O95786', 'Alpha6Beta4Integrin', 'Q9UBN7'})"
"frozenset({'P48039', 'Alpha6Beta4Integrin', 'Q7Z442'})"
"frozenset({'P08648', 'Q13418', 'Alpha6Beta4Integrin'})"
"frozenset({'Q02156', 'Alpha6Beta4Integrin', 'P05787'})"
"frozenset({'Q9Y333', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'P11940', 'P11142', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UJ41', 'P61077'})"
"frozenset({'Q9Y2I6', 'Alpha6Beta4Integrin', 'O60299'})"
"frozenset({'Q13618', 'Q15459', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13867', 'P60520', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96E93', 'P26715', 'Alpha6Beta4Integrin'})"
"frozenset({'P15880', 'P62910', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O95218', 'O94888'})"
"frozenset({'Q8TDN7', 'Q00013', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13617', 'Q9UNS2'})"
"frozenset({'P68133', 'P11441', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y279', 'Alpha6Beta4Integrin', 'Q6P5Z2'})"
"frozenset({'Q9UQL6', 'P51991', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BZR9', 'Alpha6Beta4Integrin', 'O14933'})"
"frozenset({'Q8WWX0', 'Alpha6Beta4Integrin', 'P31689'})"
"frozenset({'Q00839', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'O75530', 'Alpha6Beta4Integrin', 'P49761'})"
"frozenset({'O75386', 'Alpha6Beta4Integrin', 'Q5T5U3'})"
"frozenset({'P39880', 'Alpha6Beta4Integrin', 'P61956'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NQC3', 'O15127'})"
"frozenset({'O43426', 'Alpha6Beta4Integrin', 'Q07912'})"
"frozenset({'Q86X83', 'Q15154', 'Alpha6Beta4Integrin'})"
"frozenset({'P13533', 'Alpha6Beta4Integrin', 'Q99523'})"
"frozenset({'Q9Y3I0', 'P30419', 'Alpha6Beta4Integrin'})"
"frozenset({'P49588', 'Alpha6Beta4Integrin', 'Q9HB71'})"
"frozenset({'P22087', 'Q9BV73', 'Alpha6Beta4Integrin'})"
"frozenset({'P15880', 'Alpha6Beta4Integrin', 'Q659C4'})"
"frozenset({'P08588', 'P17612', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16649', 'Q96IK5', 'Alpha6Beta4Integrin'})"
"frozenset({'P63162', 'Q7L2J0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WXH5', 'P26951', 'Alpha6Beta4Integrin'})"
"frozenset({'O95817', 'Q969T9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5T5U3', 'Q5SSQ6'})"
"frozenset({'Q9H4E7', 'Alpha6Beta4Integrin', 'Q96AQ6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15435', 'Q9Y2W2'})"
"frozenset({'Alpha6Beta4Integrin', 'O15078', 'P33947'})"
"frozenset({'Q9NYB0', 'Alpha6Beta4Integrin', 'Q3ZCW2'})"
"frozenset({'P46109', 'Q8WV28', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRD1', 'P05187', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15777', 'Q5TYM5', 'Alpha6Beta4Integrin'})"
"frozenset({'P43220', 'Q6N075', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12849', 'Q13618', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14999', 'O75152', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92466', 'Alpha6Beta4Integrin', 'Q9NUG6'})"
"frozenset({'P10398', 'O43852', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96AG4', 'Alpha6Beta4Integrin', 'Q92731'})"
"frozenset({'P01112', 'P50151', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P0C0S5', 'Q9NXR8'})"
"frozenset({'Alpha6Beta4Integrin', 'P42858', 'Q13011'})"
"frozenset({'Q13451', 'Q16342', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3Q8', 'Q9H4A3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WWW0', 'Alpha6Beta4Integrin', 'P62136'})"
"frozenset({'Q96EY8', 'Q16836', 'Alpha6Beta4Integrin'})"
"frozenset({'P26842', 'Alpha6Beta4Integrin', 'Q6NUQ4'})"
"frozenset({'P02686', 'P56693', 'Alpha6Beta4Integrin'})"
"frozenset({'P46108', 'O15273', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5JVL4', 'P26367', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6ZU80', 'Alpha6Beta4Integrin', 'Q96GE4'})"
"frozenset({'Q9Y3E0', 'Alpha6Beta4Integrin', 'Q92743'})"
"frozenset({'P43629', 'P07711', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96RT1', 'Q15797'})"
"frozenset({'Q13523', 'Q9NRC8', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'Alpha6Beta4Integrin', 'Q9UKB1'})"
"frozenset({'O14964', 'O60784', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y662', 'P20036', 'Alpha6Beta4Integrin'})"
"frozenset({'P54219', 'Alpha6Beta4Integrin', 'O43402'})"
"frozenset({'Q09472', 'Alpha6Beta4Integrin', 'P19838'})"
"frozenset({'O15551', 'Q96B33', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96KA5', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'P25445', 'Alpha6Beta4Integrin', 'O60936'})"
"frozenset({'P49407', 'Q8N0Y3', 'Alpha6Beta4Integrin'})"
"frozenset({'P30084', 'Alpha6Beta4Integrin', 'Q8IUF1'})"
"frozenset({'P61604', 'Q9UJ68', 'Alpha6Beta4Integrin'})"
"frozenset({'P59046', 'Q13200', 'Alpha6Beta4Integrin'})"
"frozenset({'P60331', 'Alpha6Beta4Integrin', 'Q13875'})"
"frozenset({'Q99708', 'Q9UGC6', 'Alpha6Beta4Integrin'})"
"frozenset({'P27348', 'O94921', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969G2', 'Q16384', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UPQ3', 'Alpha6Beta4Integrin', 'Q8TEH3'})"
"frozenset({'Q3B820', 'Q5VU43', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BT25', 'Q5BJF6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N9N5', 'P25791', 'Alpha6Beta4Integrin'})"
"frozenset({'P30038', 'Alpha6Beta4Integrin', 'P11766'})"
"frozenset({'Q8TAP4', 'Q02446', 'Alpha6Beta4Integrin'})"
"frozenset({'P30291', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'Q15327', 'Alpha6Beta4Integrin', 'P52566'})"
"frozenset({'P32247', 'Alpha6Beta4Integrin', 'P05549'})"
"frozenset({'Q9NRZ9', 'O00716', 'Alpha6Beta4Integrin'})"
"frozenset({'Q496A3', 'Alpha6Beta4Integrin', 'Q7L273'})"
"frozenset({'Q8N5F7', 'Q9P2K5', 'Alpha6Beta4Integrin'})"
"frozenset({'P20827', 'P08581', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92466', 'Alpha6Beta4Integrin', 'Q15910'})"
"frozenset({'Q52LG2', 'Alpha6Beta4Integrin', 'Q16633'})"
"frozenset({'O95400', 'Alpha6Beta4Integrin', 'Q6P2Q9'})"
"frozenset({'Q9UQL6', 'Alpha6Beta4Integrin', 'P49368'})"
"frozenset({'Q9P278', 'Alpha6Beta4Integrin', 'O95166'})"
"frozenset({'Q01094', 'Alpha6Beta4Integrin', 'O43318'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WX93', 'Q13315'})"
"frozenset({'P48741', 'Alpha6Beta4Integrin', 'Q96GG9'})"
"frozenset({'Q15834', 'Q8N302', 'Alpha6Beta4Integrin'})"
"frozenset({'P19387', 'Q68E01', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13287', 'Q8N573', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UM54', 'Alpha6Beta4Integrin', 'Q14164'})"
"frozenset({'P68036', 'Q9NV58', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99750', 'P82987'})"
"frozenset({'Q9UPQ9', 'P11940', 'Alpha6Beta4Integrin'})"
"frozenset({'P04629', 'Alpha6Beta4Integrin', 'P04843'})"
"frozenset({'Q4LEZ3', 'Alpha6Beta4Integrin', 'Q9BZW7'})"
"frozenset({'P50995', 'Alpha6Beta4Integrin', 'Q9H0W5'})"
"frozenset({'A7E2F4', 'Alpha6Beta4Integrin', 'Q9NZM3'})"
"frozenset({'P67775', 'Q9NVK5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15366', 'Q9BUJ2', 'Alpha6Beta4Integrin'})"
"frozenset({'O75177', 'Q15427', 'Alpha6Beta4Integrin'})"
"frozenset({'P51668', 'Alpha6Beta4Integrin', 'Q9BZY9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04323', 'Q9H3U1'})"
"frozenset({'P36956', 'O00255', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRK6', 'Q9BQ95', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TCT0', 'P11441', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'Q9NP98', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6YN16', 'Q9NRD1', 'Alpha6Beta4Integrin'})"
"frozenset({'O75530', 'Alpha6Beta4Integrin', 'Q9H0S4'})"
"frozenset({'Q9BQS6', 'P63172', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13148', 'Alpha6Beta4Integrin', 'Q8N5C6'})"
"frozenset({'Q86Y39', 'Alpha6Beta4Integrin', 'P51970'})"
"frozenset({'P19237', 'Q99750', 'Alpha6Beta4Integrin'})"
"frozenset({'P07437', 'Q9Y253', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N6Y0', 'Q8IY31', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13616', 'O95678'})"
"frozenset({'Q8IVT5', 'Alpha6Beta4Integrin', 'O75147'})"
"frozenset({'Q09472', 'Alpha6Beta4Integrin', 'Q9GZX5'})"
"frozenset({'P35268', 'P51858', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12888', 'P61956', 'Alpha6Beta4Integrin'})"
"frozenset({'P67870', 'O14519', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96HJ9', 'Alpha6Beta4Integrin', 'P25705'})"
"frozenset({'P49407', 'P61981', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96MT7', 'Q9H2C0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13216', 'Q6W2J9', 'Alpha6Beta4Integrin'})"
"frozenset({'P10827', 'Alpha6Beta4Integrin', 'Q13404'})"
"frozenset({'Q8NGF6', 'O60262', 'Alpha6Beta4Integrin'})"
"frozenset({'P63173', 'Alpha6Beta4Integrin', 'P18077'})"
"frozenset({'Q8N5R6', 'Alpha6Beta4Integrin', 'Q13895'})"
"frozenset({'P12110', 'Alpha6Beta4Integrin', 'Q9HCN6'})"
"frozenset({'P78527', 'P54278', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92769', 'Q9UKG1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15047', 'P08670', 'Alpha6Beta4Integrin'})"
"frozenset({'P17612', 'Q9UKG1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6ZN57', 'Q5JR59', 'Alpha6Beta4Integrin'})"
"frozenset({'P52803', 'P55157', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5PSV4', 'P40425', 'Alpha6Beta4Integrin'})"
"frozenset({'P35240', 'Q9NZI8', 'Alpha6Beta4Integrin'})"
"frozenset({'O00560', 'Alpha6Beta4Integrin', 'Q9NYB9'})"
"frozenset({'Q0VG06', 'Alpha6Beta4Integrin', 'Q6UX06'})"
"frozenset({'Q9Y2T3', 'Alpha6Beta4Integrin', 'P49736'})"
"frozenset({'Q9P2K8', 'Q01844', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15038', 'Q96PU5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14103', 'Alpha6Beta4Integrin', 'Q9H074'})"
"frozenset({'P05362', 'P33778', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96PU8', 'P38159', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'P47897', 'Alpha6Beta4Integrin'})"
"frozenset({'P04637', 'O60678', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3I1', 'Alpha6Beta4Integrin', 'P61077'})"
"frozenset({'Q9BV36', 'P51159', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14738', 'P15927'})"
"frozenset({'P27658', 'Q6UY14', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UH99', 'Q6NUS6', 'Alpha6Beta4Integrin'})"
"frozenset({'P78556', 'P25024', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UEW8', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'Q9C009', 'Alpha6Beta4Integrin', 'P52747'})"
"frozenset({'O94972', 'Alpha6Beta4Integrin', 'P61077'})"
"frozenset({'O60266', 'Q13557', 'Alpha6Beta4Integrin'})"
"frozenset({'Q03111', 'P55198', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z2T5', 'Alpha6Beta4Integrin', 'P00533'})"
"frozenset({'Q15080', 'O15264', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969L2', 'Alpha6Beta4Integrin', 'Q16890'})"
"frozenset({'P33076', 'Alpha6Beta4Integrin', 'Q9UQL6'})"
"frozenset({'Q92934', 'Q02750', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12830', 'Alpha6Beta4Integrin', 'Q05925'})"
"frozenset({'Q7Z3K3', 'P53539', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y297', 'Alpha6Beta4Integrin', 'P53350'})"
"frozenset({'P57078', 'Q9NWW5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q93009', 'Alpha6Beta4Integrin', 'Q53GI3'})"
"frozenset({'P04049', 'P30533', 'Alpha6Beta4Integrin'})"
"frozenset({'P01303', 'P28221', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UER7', 'P68431', 'Alpha6Beta4Integrin'})"
"frozenset({'P23284', 'Alpha6Beta4Integrin', 'Q01860'})"
"frozenset({'Q9HBL7', 'Alpha6Beta4Integrin', 'P21673'})"
"frozenset({'O75494', 'P78362', 'Alpha6Beta4Integrin'})"
"frozenset({'O14543', 'P56159', 'Alpha6Beta4Integrin'})"
"frozenset({'P48039', 'Q8WXI9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQ29', 'Q6PKG0', 'Alpha6Beta4Integrin'})"
"frozenset({'O43711', 'O15496', 'Alpha6Beta4Integrin'})"
"frozenset({'O14980', 'Alpha6Beta4Integrin', 'O43633'})"
"frozenset({'O43504', 'Alpha6Beta4Integrin', 'Q96EQ0'})"
"frozenset({'O95817', 'Alpha6Beta4Integrin', 'Q8N162'})"
"frozenset({'P11308', 'Q00839', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q0D2K3', 'Q13077'})"
"frozenset({'O75928', 'Q99497', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15915', 'Q92858', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IU54', 'Q04206', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P06493', 'Q8NFV5'})"
"frozenset({'P51168', 'Alpha6Beta4Integrin', 'P40818'})"
"frozenset({'Q969F1', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13617', 'P62745', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4X5', 'O60260', 'Alpha6Beta4Integrin'})"
"frozenset({'O95793', 'Q99623', 'Alpha6Beta4Integrin'})"
"frozenset({'O15111', 'Alpha6Beta4Integrin', 'Q86UT6'})"
"frozenset({'P49407', 'Alpha6Beta4Integrin', 'Q8NGK0'})"
"frozenset({'Q96MX6', 'O15027', 'Alpha6Beta4Integrin'})"
"frozenset({'O75643', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'O15392', 'P09668', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86WR7', 'Alpha6Beta4Integrin', 'Q12929'})"
"frozenset({'P84243', 'Alpha6Beta4Integrin', 'Q92831'})"
"frozenset({'P20073', 'Alpha6Beta4Integrin', 'P29400'})"
"frozenset({'Q9UKT9', 'Q96EZ8', 'Alpha6Beta4Integrin'})"
"frozenset({'P78314', 'P15498', 'Alpha6Beta4Integrin'})"
"frozenset({'O95471', 'P56746', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NPI1', 'Alpha6Beta4Integrin', 'P14316'})"
"frozenset({'Q9H190', 'Q8TBB0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15738', 'Q9UBU9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99496', 'O95785'})"
"frozenset({'Q8N6R1', 'Q5BKT4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N8S7', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'P23443', 'Q15831', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96H22', 'Q8N0S6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92985', 'P84022', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96BD8', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q93077', 'Q96A08'})"
"frozenset({'O75937', 'P51991', 'Alpha6Beta4Integrin'})"
"frozenset({'P40692', 'Q9BY44', 'Alpha6Beta4Integrin'})"
"frozenset({'P56181', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q6JQN1', 'Alpha6Beta4Integrin', 'Q9HBU6'})"
"frozenset({'P05412', 'Q9NRL3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TEW6', 'P52630', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00535', 'P30305', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NU53', 'Alpha6Beta4Integrin', 'Q8IXK2'})"
"frozenset({'Q8NGL2', 'P38405', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92769', 'P29375', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P02545', 'Q13823'})"
"frozenset({'Q9BZZ5', 'Alpha6Beta4Integrin', 'O95302'})"
"frozenset({'Q99578', 'P78362', 'Alpha6Beta4Integrin'})"
"frozenset({'P54274', 'P49591', 'Alpha6Beta4Integrin'})"
"frozenset({'P00338', 'Alpha6Beta4Integrin', 'Q6P587'})"
"frozenset({'P38405', 'Alpha6Beta4Integrin', 'Q8NGS8'})"
"frozenset({'Alpha6Beta4Integrin', 'P52701', 'P35251'})"
